Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
123193218,Ward D,Freida McFadden,"McFadden, Freida",,"=""""","=""""",5.0,Hollywood Upstairs Press,Kindle Edition,348,2023,2023,2026/05/26,2025/09/26,library-unavailable,library-unavailable (#82),read,,,,1,0
58938609,Hidden Pictures,Jason Rekulak,"Rekulak, Jason",,"=""1250819369""","=""9781250819369""",4.0,Flatiron Books,Kindle Edition,375,2022,2022,2026/05/24,2022/10/19,,,read,,,,1,0
25396,Confessions of a Street Addict,James J. Cramer,"Cramer, James J.",,"=""0743224884""","=""9780743224888""",0,Simon & Schuster,Paperback,352,2003,2002,,2026/05/21,to-read,to-read (#280),to-read,,,,0,0
220921867,"The Housemaid's Wedding (The Housemaid, #2.5)",Freida McFadden,"McFadden, Freida",,"=""""","=""""",5.0,Hollywood Upstairs Press,Kindle Edition,76,2024,2024,2026/05/18,2026/05/18,,,read,,,,1,0
18883319,Freak (Creep #2),Jennifer Hillier,"Hillier, Jennifer",,"=""""","=""""",5.0,Gallery Books,Kindle Edition,335,2012,2012,2026/05/18,2026/05/15,,,read,,,,1,0
241715934,Come Undone,Eddie Huang,"Huang, Eddie",,"=""0399591907""","=""9780399591907""",0,One World,Hardcover,240,2026,,,2026/05/16,to-read,to-read (#279),to-read,,,,0,0
241683548,Exit Party,Emily St. John Mandel,"Mandel, Emily St. John",,"=""1035081318""","=""9781035081318""",0,Picador,Kindle Edition,320,2026,2026,,2026/05/15,to-read,to-read (#278),to-read,,,,0,0
242445212,Judge Stone,Viola Davis,"Davis, Viola",James  Patterson,"=""0316579831""","=""9780316579834""",0,"Little, Brown and Company",Hardcover,432,2026,2026,,2026/05/15,to-read,to-read (#277),to-read,,,,0,0
248283419,"The Scaling Curve: Dario Amodei, Anthropic, and the Race to Build and Survive Superintelligence",Claude St. John,"John, Claude St.",,"=""""","=""""",4.0,Titanium Books,Kindle Edition,255,2026,,2026/05/10,2026/04/26,,,read,,,,1,0
241039527,House of Fidelity: The Rise of the Johnson Dynasty and the Company That Changed American Investing,Justin  Baer,"Baer, Justin",,"=""1538766957""","=""9781538766958""",0,Grand Central Publishing,Hardcover,384,2026,2026,,2026/05/07,to-read,to-read (#275),to-read,,,,0,0
7286964,Eating the Dinosaur,Chuck Klosterman,"Klosterman, Chuck",,"=""1416544216""","=""9781416544210""",4.0,Scribner,Paperback,304,2010,2009,2010/01/01,2014/11/23,,,read,,,,1,0
59349372,"Creep (Creep, #1)",Jennifer Hillier,"Hillier, Jennifer",,"=""""","=""""",5.0,Gallery Books,Kindle Edition,436,2011,2011,2026/04/26,2020/07/26,,,read,,,,1,0
240187265,Dirty 20,Bill Schweigart,"Schweigart, Bill",,"=""1368114571""","=""9781368114578""",0,Hyperion Avenue,Paperback,416,2026,,,2026/04/25,to-read,to-read (#274),to-read,,,,0,0
223400731,"The Optimist: Sam Altman, OpenAI, and the Race to Invent the Future",Keach Hagey,"Hagey, Keach",,"=""1324075961""","=""9781324075967""",3.0,W. W. Norton & Company,Hardcover,384,2025,,2026/04/17,2025/04/05,,,read,,,,1,0
215217600,"AI Valley: Microsoft, Google, and the Trillion-Dollar Race to Cash In on Artificial Intelligence – A Definitive Insider Chronicle of the Breakthroughs Redefining Our World",Gary Rivlin,"Rivlin, Gary",,"=""0063347490""","=""9780063347496""",0,Harper Business,Hardcover,320,2025,,,2026/04/17,to-read,to-read (#273),to-read,,,,0,0
52545816,Famesick,Lena Dunham,"Dunham, Lena",,"=""1460713052""","=""9781460713051""",0,HarperCollins,ebook,288,,2026,,2026/04/15,to-read,to-read (#272),to-read,,,,0,0
238952121,The Insomniacs,Allison Winn Scotch,"Scotch, Allison Winn",,"=""0593817931""","=""9780593817933""",0,Berkley,Kindle Edition,396,2026,2026,,2026/04/07,to-read,to-read (#271),to-read,,,,0,0
242445400,"Checkmate: Genius, Lies, Ambition, and the Biggest Scandal in Chess",Ben Mezrich,"Mezrich, Ben",,"=""1538773031""","=""9781538773031""",0,Grand Central Publishing,Hardcover,304,2026,2026,,2026/04/07,to-read,to-read (#270),to-read,,,,0,0
244403162,The Divorce,Freida McFadden,"McFadden, Freida",,"=""1464249636""","=""9781464249631""",0,Poisoned Pen Press,Paperback,368,2026,2026,,2026/04/02,to-read,to-read (#269),to-read,,,,0,0
248296726,Peck & Peck,Bonnie Garmus,"Garmus, Bonnie",,"=""166825106X""","=""9781668251065""",0,Scribner,Hardcover,432,2026,2026,,2026/04/02,to-read,to-read (#268),to-read,,,,0,0
